CMD;Liste;Libellé liste;Code;Libellé code
01;A-002;Craniotomies;KBFA001-00/0;Exérèse de lésion de la région pinéale  par craniotomie
01;A-002;Craniotomies;LACA005-00/0;Ostéosynthèse de fracture naso ethmoïdo maxillo fronto orbitaire  par abord coronal
01;A-002;Craniotomies;LACA009-00/0;Ostéosynthèse de fracture fronto naso maxillaire à foyer ouvert par abord facial  avec canthopexie
01;A-002;Craniotomies;LACA012-00/0;Ostéosynthèse d une embarrure de la voûte du crâne
01;A-002;Craniotomies;LACA016-00/0;Ostéosynthèse de fracture cranioorbitaire
01;A-002;Craniotomies;LACA017-00/0;Ostéosynthèse de fracture cranioorbitaire avec fermeture de brèche ostéodurale
01;A-002;Craniotomies;LACA020-00/0;Ostéosynthèse de fracture craniofaciale
01;A-002;Craniotomies;LAEA002-00/0;Avancement frontoorbitaire symétrique ou asymétrique sans remodelage frontal  par craniotomie
01;A-002;Craniotomies;LAEA004-00/0;Avancement combiné du front et de la face [Monobloc frontofacial]  sans pose de distracteur
01;A-002;Craniotomies;LAEA006-00/0;Avancement frontoorbitaire symétrique ou asymétrique avec remodelage frontal  par craniotomie
01;A-002;Craniotomies;LAEA009-00/0;Avancement combiné du front et de la face [Monobloc frontofacial]  avec pose de distracteur
01;A-002;Craniotomies;LAFA003-00/0;Résection fronto ethmoïdo sphénoïdo maxillaire  par abord paralatéronasal et par abord infrafrontal
01;A-002;Craniotomies;LAFA004-00/0;Exérèse de tumeur de la voûte du crâne avec cranioplastie
01;A-002;Craniotomies;LAFA005-00/0;Pétrectomie totale
01;A-002;Craniotomies;LAFA011-00/0;Exérèse de tumeur de la voûte du crâne sans cranioplastie
01;A-002;Craniotomies;LAFA900-00/0;Craniectomie décompressive
01;A-002;Craniotomies;LAGA007-00/0;Ablation de matériel de cranioplastie de la voûte
01;A-002;Craniotomies;LAMA001-00/0;Reconstruction du tiers latéral du massif facial pour syndrome malformatif  par abord facial et par abord coronal
01;A-002;Craniotomies;LAMA002-00/0;Réparation d une fente craniofaciale impliquant l orbite avec abord de l étage antérieur de la base du crâne
